ResponseId,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Nawar Nemeh - Isla Vista Party,Hieu Le - Campus United,Write-In,Write-In-TEXT,Lesly Silva - Isla Vista Party,Jasmine Sandhu - Campus United,Justice Dumlao - Isla Vista Party,Batsheva Stoll - Campus United,Menelik Dagnachew - Isla Vista Party,Kristin Hsu - Campus United,Jack Tannenbaum - Independent,Sibongile Makatini - Isla Vista Party,Stoddy Carey - Campus United,Brooke Kopel - Campus United,Grayson Hernandez - Campus United,Andrew Banicki - Campus United,"Grecia ""grec"" Martinez - Isla Vista Party",Sophia Uemura - Isla Vista Party,Micah Almas - Isla Vista Party,Blake Diamond - Campus United,Veronica Leeman - Isla Vista Party,Sami Kaayal - Isla Vista Party,Carla Martinez - Isla Vista Party,Ilene Ochoa - Isla Vista Party,"Mara Joy ""Joy"" Abubo - Isla Vista Party",Sophia Dycaico - Campus United,"Dominick ""Dom"" Dicesare - Campus United",Deepika Chandrashekar - Campus United,Anthony Pimentel - Campus United,Brandon Mora - Isla Vista Party,Siboney Arias - Isla Vista Party,Dhishal Jayasinghe - Campus United,Kristen Armellini - Campus United,Evan Quash - Campus United,Adnan Mansur - Campus United,"Samuel ""Sam"" Cook - Campus United",Adham Btaddini - Campus United,"Alexandra ""Alex"" Gessesse - Isla Vista Party",Alison Sir - Campus United,"Vanessa ""Nessa"" Maldonado - Isla Vista Party",Derek Yang - Campus United,Alexa Hernandez - Campus United,Charles Neumann - Campus United,Dylan Goldman - Isla Vista Party,Steven Ho - Isla Vista Party,Kia Sadeghi - Campus United,Jorge Santos - Isla Vista Party,Andrea Reyes - Isla Vista Party,Juan Manuel Perez Tejada Mir - Campus United,Naia Al-Anbar - Isla Vista Party,Kian Maalizadeh - Campus United
R_00000000000001,3,1,2,Donald Trump,2,1,2,1,2,1,1,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000000002,1,,,,1,,1,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000003,2,1,,,2,1,2,1,2,1,1,,4,1,3,2,,,,,,12,,,,1,10,3,9,,,2,4,6,8,11,5,,7,,,,,,,,,,,,
R_00000000000004,2,1,,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,,9,11,4,1,,,8,3,6,2,10,7,,5,,,,,,,,,,,,
R_00000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000006,,1,,,,1,,1,,1,1,,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,,,1,,,,,
R_00000000000007,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000008,3,1,2,Ashley Selki,2,1,2,1,2,1,1,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,4,,,3,,,,,
R_00000000000009,,1,,,1,,,1,,1,1,,3,2,1,4,,,,,,,,,,5,6,2,8,,,3,4,1,11,7,10,,9,,,,,,,,,,,,1
R_00000000000010,2,1,,,2,1,2,1,2,1,1,,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,,,3,,,,,
R_00000000000011,1,3,2,Navpreet Khabra,1,,2,1,1,2,1,1,,,3,4,2,,,,9,8,7,1,2,,,10,,6,4,11,,,,12,,3,5,,,,,,,,,,,,
R_00000000000012,1,,,,1,,1,,1,,,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,1,,3,,,,
R_00000000000013,,1,,,,1,,1,,1,1,,1,2,4,3,,,,,,,,,,7,4,10,6,,,8,3,9,5,1,11,,2,,,,,,,,,,,,
R_00000000000014,1,,,,1,,1,,1,,1,2,,4,3,,1,,,,9,12,3,2,8,1,11,6,,4,7,10,,,,,,5,,,,,,,,,,,,,
R_00000000000015,2,1,,,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,2,,,,,
R_00000000000016,1,2,,,1,2,1,2,1,2,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,5,,2,4,,1,,,,
R_00000000000017,2,1,,,2,1,2,1,2,1,1,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,4,5,,,,
R_00000000000018,1,2,,,1,2,1,2,1,2,1,2,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,4,5,,2,,,,
R_00000000000019,1,2,,,1,2,1,2,1,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,
R_00000000000020,,1,,,,1,,1,,1,1,,4,1,3,2,,,,,,,,,,6,10,3,5,,,4,9,2,11,8,7,,1,,,,,,,,,,,,
R_00000000000021,,1,2,Harambe,,1,,1,,1,1,,2,1,3,4,,,,,,,,,,6,10,4,5,,,1,3,2,9,11,7,,8,,,,,,,,,,,,
R_00000000000022,,1,,,1,,1,,,1,1,2,,,,,1,,,,1,8,4,6,3,,,,,7,2,,,,,,,5,,,,,,,,,,,,,
R_00000000000023,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,1,3,,5,2,,,,,,
R_00000000000024,1,2,,,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,4,2,,,,
R_00000000000025,2,1,,,,1,,1,,1,1,,3,1,2,4,,,,,,,,,,5,10,3,1,,,4,2,7,8,6,9,,11,,,,,,,,,,,,
R_00000000000026,,1,,,,1,,1,,1,1,,4,1,2,3,,,,,,,,,,7,2,9,4,,,8,6,10,3,5,11,,1,,,,,,,,,,,,
R_00000000000027,,1,,Hieu Le,,1,1,,,1,1,1,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,1,,,5,,,,,
R_00000000000028,,1,,,,1,,1,,1,1,,4,2,3,1,,,,,,,,,,8,7,2,10,,,5,9,11,6,3,4,,1,,,,,,,,,,,,
R_00000000000029,2,1,3, Blake,2,1,2,1,2,1,1,,,,,,,,,1,,,,,,4,,2,6,,,3,1,,,,,,5,,,,,,,,,,,,
R_00000000000030,,1,,,,1,,1,,1,1,,3,1,2,4,,,,,,,,,,2,3,5,11,,,9,1,10,7,4,8,,6,,,,,,,,,,,,
R_00000000000031,,1,,,,1,,1,,1,1,,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,2,,,3,,,,,
R_00000000000032,1,,,,1,,,1,1,,1,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000033,1,2,,,1,2,1,2,1,2,1,2,3,4,,,1,,,,4,1,5,8,11,3,,7,,12,10,2,,,,,9,6,,,,,,,,,,,,,
R_00000000000034,,1,,,,1,,1,,1,1,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,,,1,,,,,
R_00000000000035,3,1,2,Navpreet Khabra,2,1,1,2,1,2,1,,1,,3,4,2,,,,6,12,11,10,7,,,5,4,,9,,2,1,,8,,3,,,,,,,,,,,,,
R_00000000000036,1,,,,1,,1,,1,,,,,,,,1,,,,6,1,8,2,3,,,,,5,7,,,,,,,4,,,,,,,,,,,,,
R_00000000000037,2,1,,,2,1,2,1,2,1,1,2,3,1,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
R_00000000000038,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000039,2,1,,,1,2,1,2,1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,2,,1,4,5,,,,,
R_00000000000040,2,1,,,2,1,2,1,2,1,1,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,5,4,,,,,
R_00000000000041,,1,,,,1,,1,,1,1,,,,,1,,,,,,,,,,3,2,,6,,,7,,4,,1,,,5,,,,,,,,,,,,
R_00000000000042,2,1,,,2,1,1,2,2,1,1,2,,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,4,,5,,3,1,,2,,,,
R_00000000000043,3,1,2,Navpreet Khabra,1,2,1,2,2,1,,,3,,4,2,1,,,,3,8,4,,6,1,12,,7,9,,10,,5,,,,2,11,,,,,,,,,,,,
R_00000000000044,2,1,,,2,1,2,1,1,2,1,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,,3,2,,,,,
R_00000000000045,,1,,,,1,,1,,1,1,3,2,1,,4,,,,,,,,,,6,9,4,11,,,5,1,3,7,10,2,,8,,,,,,,,,,,,
R_00000000000046,,1,,,,1,,1,,1,,4,2,1,,3,,,,,10,11,9,6,12,5,,2,4,,,1,3,,,7,,,8,,,,,,,,,,,,
R_00000000000047,2,1,,,2,1,2,1,1,2,1,,4,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,,5,,,,,,
R_00000000000048,1,2,,,1,2,1,2,1,2,1,2,,,3,4,1,,,,8,2,9,12,7,1,,4,,6,10,3,5,,,,,11,,,,,,,,,,,,,
R_00000000000049,3,1,2,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,12,,9,10,3,4,,,1,2,6,7,11,5,,8,,,,,,,,,,,2,1
R_00000000000050,2,1,,,2,1,2,1,2,1,1,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,,2,5,,,,
R_00000000000051,1,,,,1,,1,,,1,,2,,4,3,,1,,,,5,3,7,,2,,,,,4,6,,,,,,,1,,,,,,,,,,,,,
R_00000000000052,3,1,2,Dominick DiCesare,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,,3,,,,,
R_00000000000053,,1,,,,1,,1,,1,1,,4,3,1,2,,,,,,,,,,10,6,4,11,,,9,1,2,8,3,5,,7,,,,,,,,,,,,1
R_00000000000054,2,1,,,1,2,1,2,1,2,1,,1,3,4,,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,1,,,,,
R_00000000000055,,1,,,,1,,1,,1,1,,,,,,,,,1,,,,,,8,1,6,9,,,4,3,11,2,10,7,,5,,,,,,,,,,,,
R_00000000000056,2,1,,,,1,,1,,,1,,4,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,3,2,,,,
R_00000000000057,2,1,,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000000058,2,1,,,2,1,2,1,2,1,1,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,2,,,4,,,,,
R_00000000000059,,1,,,,1,,1,,1,1,,1,2,3,4,,,,,,,,,,5,2,6,9,,,,1,4,,3,7,,8,,,,,,,,,,,,
R_00000000000060,2,1,,,2,1,2,1,2,1,1,,,1,,,,,,,,9,1,,,5,12,4,,6,2,8,3,10,,,,7,11,,,,,,,,,,,,
R_00000000000061,2,3,1,Navpreet Khabra,1,2,2,1,2,1,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000000062,,1,,,1,,1,,1,,1,,,1,,,,,,,,3,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,
R_00000000000063,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,
R_00000000000064,3,1,2,Runkle,2,1,2,1,2,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000065,1,2,,,2,1,2,1,2,1,1,,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000066,3,1,2,Aaa,2,1,2,1,2,1,1,,2,3,1,4,,,,,,,,,,2,6,1,8,,,3,4,11,7,10,5,,9,,,,,,,,,,,,
R_00000000000067,1,3,2,,1,2,1,2,1,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
