ResponseId,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Brooke Kopel - Campus United,"Justice ""For All"" Dumlao - Isla Vista Party",Anthony Pimentel - Campus United,Steven Ho - Isla Vista Party,Jeike Meijer - Isla Vista Party,Sophia Dycaico - Campus United,Madeline Loudon - Campus United,Mayela Morales - Isla Vista Party,"Grecia ""grec"" Martinez - Independent",Rose Ettleson - Independent,Alex Funk - Campus United,"Allison ""Alli"" Adam - Campus United",Emily Quach - Campus United,Gabriella Shofet - Campus United,"Joshua ""Josh"" Takeuchi - Campus United","Ricardo ""Ricky"" Uribe - Isla Vista Party","Xochitl ""Xo"" Briseno - Isla Vista Party",Adam Chohan - Campus United,"Alexander ""Alex"" Young - Campus United","Alexis ""Lexi"" Bettencourt - Campus United","Amy ""Amy"" Zhou - Campus United",Andrew Nguyen - Campus United,Ashley Ng - Isla Vista Party,Carla Cernat - Campus United,Christian Ornelas - Isla Vista Party,Dallin Mello - Isla Vista Party,"Diego ""D"" Cobos - Isla Vista Party","Gabriel ""Gabe"" Etaat - Isla Vista Party","Jalia ""Jolly"" Carlton-Carew - Isla Vista Party",Jasmine Palmerin - Isla Vista Party,"Mordi ""Mordi"" Shadpour - Campus United",Nicole Estess - Campus United,"Rafael ""Rafa"" Cornejo - Isla Vista Party",Ryan Clark - Isla Vista Party,"Salvador ""Sal"" Hernandez Arellano - Isla Vista Party",Sarah Eizner - Campus United,Sydney Karmes-Wainer - Campus United,Yara Khamis - Campus United,Zachary Zeising - Campus United,Diego Reyes - Isla Vista Party,Eric Moon - Campus United,"Joel ""Joey"" Medina - Isla Vista Party",Lea Toubian - Campus United,Melissa Perez - Isla Vista Party,Sam Melamed - Campus United,Yasamin Salari - Isla Vista Party,Yash Nagpal - Campus United,Zion Solomon - Isla Vista Party,Anthony Hernandez - Campus United,Vanessa Maldonado - Isla Vista Party,Juan Ornelas - Isla Vista Party,Nima Bencohen - Campus United
R_00000000000001,1,,1,,,1,1,,,1,1,,,,,,,7,,,4,6,,9,,,,,,,1,5,,,,3,2,8,,,,,,,,,,,,,,
R_00000000000002,1,2,1,2,2,1,1,2,2,1,,2,4,3,1,,,11,8,7,9,2,,5,,,,,,,10,4,,,,12,3,1,6,,,,,,,,,,,,,
R_00000000000003,2,1,2,1,1,2,1,2,1,2,,4,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,4,,3,,5,,1,,2,,,,
R_00000000000004,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,5,,4,,3,,2,,1,,,,
R_00000000000005,1,,1,,,1,1,,,1,,1,4,3,2,,,1,10,9,11,5,,2,,,,,,,8,7,,,,12,3,4,6,,,,,,,,,,,,,
R_00000000000006,1,,1,,,1,1,,1,2,,1,2,4,3,,,12,5,2,7,11,,8,,,,,,,10,9,,,,3,1,6,4,,,,,,,,,,,,,
R_00000000000007,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,5,,2,1,4,9,7,8,,,6,10,3,,,,,,,,,,,,,,,,,
R_00000000000008,1,2,1,2,2,1,2,1,1,2,,,,4,3,1,2,,7,,,6,8,4,2,12,3,,,5,,,1,,9,11,10,,,,,,,,,,,,,,1,2
R_00000000000009,1,,1,,,1,1,,,1,,1,4,3,2,,,10,2,4,8,5,,12,,,,,,,6,7,,,,1,9,11,3,,,,,,,,,,,,,
