ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Austin Foreman - Independent,Daevionne Beasley - Campus United,Daniel Segura-Esquivel - Isla Vista Party,Racquel Almario - Isla Vista Party,Tianna White - Campus United,Lea Toubian - Campus United,Yasamin Salari - Isla Vista Party,Alia Reynolds - Isla Vista Party,Beau Karnsrithong - Campus United,Melissa Perez - Independent,Tyler Ferguson - Independent,Calvin Jenkins - Campus United,Gabriel Bravo - Isla Vista Party,Nadav Kempinski - Independent,Surya Pugal - Independent,Aimee Wang - Campus United,Ava Kargosha - Isla Vista Party,Hayley Slater - Campus United,Jose Gonzalez-Herrera - Isla Vista Party,Marcello Cutri - Campus United,Phillip Huynh - Campus United,Rosey Lavery - Isla Vista Party,Shva Star - Isla Vista Party,Ben Darnell - Independent,Daniel Mitchell - Campus United,Alexandra Perez - Isla Vista Party,Alexia Duran - Isla Vista Party,"Andrei ""Andy"" Arciaga Limayo - Isla Vista Party",Angel Diaz - Isla Vista Party,Arleth Real - Isla Vista Party,Cameron Parker - Campus United,Catherine Flaherty - Campus United,Connie Huerta - Isla Vista Party,Dylan Martinez - Campus United,Eileen Tran - Isla Vista Party,"Emanuel ""Manny"" Roman - Isla Vista Party","Esmeralda ""Esme"" Quintero - Isla Vista Party",Fabian Oseguera - Campus United,Hailey Stankiewicz - Isla Vista Party,Jackson Tofft - Campus United,"Jianing ""Bruce"" Fan - Campus United",Kaitlyn Medland - Campus United,Karsten Kolbe - Campus United,"Kyremina ""(Ky)"" Youssef - Isla Vista Party",Nathan Le - Campus United,Yehuda Jian - Campus United,Yuval Cohen - Campus United,Adam Bagul - Campus United,Adam Majcher - Campus United,Anusikha Halder - Isla Vista Party,Bryanna Macias - Campus United,Dania De Ramon - Isla Vista Party,Gurleen Pabla - Campus United,Katrina Isabel Sacluti - Isla Vista Party,Ryan Stofer - Isla Vista Party,Taylor Tait - Campus United,Bee Schaefer - Isla Vista Party,Jesse Macias - Campus United,"Ahura ""Ahu"" Nezhad - Campus United",Brandon Villarreal - Isla Vista Party
R_00000000000001,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000002,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,7,,6,1,,,,4,,8,5,3,,9,,,,,2,,,,,,,,,,,,,,,,
R_00000000000003,3,2,1,,1,1,,,1,,1,,,,,2,,1,,3,,,4,,,,,11,,,7,2,,9,12,,,4,,,5,3,8,,10,1,6,,,,,,,,,,,,,
R_00000000000004,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,3,,4,2,,,,,,,,,,9,1,12,7,,,,10,,6,3,4,5,,11,8,2,,,,,,,,,,,,,
R_00000000000005,2,1,3,2,1,1,2,2,1,,1,,,,,3,,4,,2,1,,,,,,,,,,3,4,,8,,,,1,,7,2,11,9,,5,6,10,,,,,,,,,,,,,
R_00000000000006,1,3,2,2,1,1,2,2,1,2,1,,,,,4,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000007,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,3,,1,,,4,,,,
R_00000000000008,,1,,,1,1,,,1,1,2,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,,4,,,1,,,,
R_00000000000009,2,1,,,1,1,,,1,,1,,,,,4,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000010,,1,2,1,,,1,1,,1,,,,,,,4,,2,,,3,1,,,5,9,3,4,8,,,,,6,7,1,,10,,,,,2,,,,,,,,,,,,,,,,
R_00000000000011,2,1,3,2,1,2,1,2,1,2,1,,,,,1,,3,,,4,2,,,,,,,,,,1,,,3,,,,,4,,,,,,,2,,,,,,,,,,,,,
R_00000000000012,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,9,2,,3,,,,7,,8,10,5,6,,4,11,1,,,,,,,,,,,,,
R_00000000000013,,1,,,1,1,,,1,,1,,,,,1,,3,,4,2,,,,,,,,,,9,1,,7,,,,4,,11,8,3,6,,5,10,2,,,,,,,,,,,,,
R_00000000000014,,,1,1,,,1,1,,1,,,,,,,2,,,,,1,3,,,4,1,9,3,10,,,,,7,2,6,,8,,,,,5,,,,,,,,,,,,,,,,
R_00000000000015,,1,,,1,1,,,1,,1,,,,,1,,4,,3,2,,,,,,,,,,8,7,,4,,,,6,,2,9,5,10,,3,11,1,,,,,,,,,,,,,
R_00000000000016,1,2,3,2,1,1,2,2,1,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000017,2,1,3,2,1,1,2,2,1,2,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,,4,,,1,,,,
